"Bucket","File","Status","Copyrights","License","Notes"
"rust","src/rust/crates/kagami-qa/src/oracle/hardware.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/oracle/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/oracle/regression.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/report/baseline.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/report/grade.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/report/matrix.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/report/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/report/pdf.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/blargg.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/direct.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/lua.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/mapper_byte_diff.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/runner/mod.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/runner/rom_regression.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/savestate_regression.rs","New","","GPLv2+",""
"rust","src/rust/crates/kagami-qa/src/runner/scheduler.rs","New","","Unknown/None",""
"rust","src/rust/crates/kagami-qa/src/runner/test_helpers.rs","New","","GPLv2+",""
"rust","src/rust/fceux11_rust.h","New","","GPLv2+",""
"rust","src/rust/src/lib.rs","New","","GPLv2+",""
"rust","src/rust/tests/rom_tests/src/lib.rs","New","","GPLv2+",""
"tests","src/tests/boards/mapper_load_test.cpp","New","","Unknown/None",""
"tests","src/tests/boards/mapper_reset_test.cpp","New","","Unknown/None",""
"tests","src/tests/git_info_stub.cpp","New","","Unknown/None",""
"tests","src/tests/rom_regression_test.cpp","New","","Unknown/None",""
"tests","src/tests/smoke_test.cpp","New","","GPLv2+",""
"utils","src/utils/backward.hpp","New","* Copyright 2013 Google Inc. All Rights Reserved.","MIT",""
"utils","src/utils/cache.h","New","","GPLv2+",""
"utils","src/utils/enum_class_bitflags.h","New","","GPLv2+",""
"utils","src/utils/expected.hpp","New","","Unknown/None",""
"utils","src/utils/fceu11_expected.cpp","New","","GPLv2+",""
"utils","src/utils/fceu11_expected.h","New","","GPLv2+",""
"utils","src/utils/fceu11_format.h","New","","GPLv2+",""
"utils","src/utils/format.h","New","","GPLv2+",""
"utils","src/utils/platform_compat.h","New","","GPLv2+",""
"utils","src/utils/safe_string.h","New","","Unknown/None",""
"utils","src/utils/simd_fill.h","New","","GPLv2+",""
"utils","src/utils/tl/expected.hpp","New","","Unknown/None",""
"boards","src/boards/__dummy_mapper.cpp","OK","* Copyright (C) 2013 CaH4e3","GPLv2+",""
"boards","src/boards/01-222.cpp","OK","* Copyright (C) 2006 CaH4e3","GPLv2+",""
"boards","src/boards/09-034a.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/103.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/106.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/108.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/112.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/116.cpp","OK","* Copyright (C) 2011 CaH4e3","GPLv2+",""
"boards","src/boards/117.cpp","OK","* Copyright (C) 2002 Xodnizel","GPLv2+",""
"boards","src/boards/120.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/121.cpp","OK","* Copyright (C) 2007-2008 Mad Dumper, CaH4e3","GPLv2+",""
"boards","src/boards/12in1.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/15.cpp","OK","* Copyright (C) 2006 CaH4e3","GPLv2+",""
"boards","src/boards/151.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/156.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/158B.cpp","OK","* Copyright (C) 2015 CaH4e3","GPLv2+",""
"boards","src/boards/164.cpp","OK","* Copyright (C) 2002 Xodnizel 2006 CaH4e3","GPLv2+",""
"boards","src/boards/168.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/170.cpp","OK","* Copyright (C) 2011 CaH4e3","GPLv2+",""
"boards","src/boards/175.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/176.cpp","OK","* Copyright (C) 2007 CaH4e3; * Copyright (C) 2012 FCEUX team","GPLv2+",""
"boards","src/boards/177.cpp","OK","* Copyright (C) 2007 CaH4e3","GPLv2+",""
"boards","src/boards/178.cpp","OK","* Copyright (C) 2013 CaH4e3","GPLv2+",""
"boards","src/boards/18.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/183.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/185.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/186.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/187.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/189.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/190.cpp","OK","* Copyright (C) 2017 FCEUX Team","GPLv2+",""
"boards","src/boards/193.cpp","OK","* Copyright (C) 2009 CaH4e3","GPLv2+",""
"boards","src/boards/199.cpp","OK","* Copyright (C) 2006 CaH4e3","GPLv2+",""
"boards","src/boards/206.cpp","OK","* Copyright (C) 2002 Xodnizel","GPLv2+",""
"boards","src/boards/208.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/222.cpp","OK","* Copyright (C) 2005 CaH4e3","GPLv2+",""
"boards","src/boards/225.cpp","OK","* Copyright (C) 2011 CaH4e3; * Copyright (C) 2019 Libretro Team; * Copyright (C) 2020","GPLv2+",""
"boards","src/boards/228.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/230.cpp","OK","* Copyright (C) 2005 CaH4e3; * Copyright (C) 2009 qeed","GPLv2+",""
"boards","src/boards/232.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
"boards","src/boards/234.cpp","OK","* Copyright (C) 2012 CaH4e3","GPLv2+",""
